timestamp,name,cpu_percent,mem_usage,mem_percent,pids
2026-08-09T07:32:49.961079219Z,converact-g03-53-router-b63383b,0.05%,36.84MiB / 7.506GiB,0.48%,18
2026-08-09T07:33:52.492147557Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:33:52.492147557Z,converact-g03-53-router-b63383b,0.04%,36.96MiB / 7.506GiB,0.48%,18
2026-08-09T07:34:55.024880883Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:34:55.024880883Z,converact-g03-53-router-b63383b,0.05%,37.04MiB / 7.506GiB,0.48%,18
2026-08-09T07:35:57.557042225Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:35:57.557042225Z,converact-g03-53-router-b63383b,0.10%,37.13MiB / 7.506GiB,0.48%,18
2026-08-09T07:37:00.088791021Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:37:00.088791021Z,converact-g03-53-router-b63383b,0.04%,36.98MiB / 7.506GiB,0.48%,18
2026-08-09T07:38:02.621499957Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:38:02.621499957Z,converact-g03-53-router-b63383b,0.04%,37.05MiB / 7.506GiB,0.48%,18
2026-08-09T07:39:05.155153219Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:39:05.155153219Z,converact-g03-53-router-b63383b,0.04%,37.12MiB / 7.506GiB,0.48%,18
2026-08-09T07:40:07.689204797Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:40:07.689204797Z,converact-g03-53-router-b63383b,0.05%,36.95MiB / 7.506GiB,0.48%,18
2026-08-09T07:41:10.233995944Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:41:10.233995944Z,converact-g03-53-router-b63383b,0.04%,37.02MiB / 7.506GiB,0.48%,18
2026-08-09T07:42:12.766946237Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:42:12.766946237Z,converact-g03-53-router-b63383b,0.04%,37.12MiB / 7.506GiB,0.48%,18
2026-08-09T07:43:15.300020895Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:43:15.300020895Z,converact-g03-53-router-b63383b,0.09%,36.98MiB / 7.506GiB,0.48%,18
2026-08-09T07:44:17.832534511Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:44:17.832534511Z,converact-g03-53-router-b63383b,0.05%,37.05MiB / 7.506GiB,0.48%,18
2026-08-09T07:45:20.367519615Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:45:20.367519615Z,converact-g03-53-router-b63383b,0.08%,37.12MiB / 7.506GiB,0.48%,18
2026-08-09T07:46:22.901285847Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:46:22.901285847Z,converact-g03-53-router-b63383b,0.10%,37.19MiB / 7.506GiB,0.48%,18
2026-08-09T07:47:25.435919953Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:47:25.435919953Z,converact-g03-53-router-b63383b,0.09%,37.02MiB / 7.506GiB,0.48%,18
2026-08-09T07:48:27.969202028Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:48:27.969202028Z,converact-g03-53-router-b63383b,0.05%,37.09MiB / 7.506GiB,0.48%,18
2026-08-09T07:49:30.501204589Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:49:30.501204589Z,converact-g03-53-router-b63383b,0.05%,37.16MiB / 7.506GiB,0.48%,18
2026-08-09T07:50:33.033869159Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:50:33.033869159Z,converact-g03-53-router-b63383b,0.10%,36.99MiB / 7.506GiB,0.48%,18
2026-08-09T07:51:35.566096908Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:51:35.566096908Z,converact-g03-53-router-b63383b,0.04%,37.06MiB / 7.506GiB,0.48%,18
2026-08-09T07:52:38.098576585Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:52:38.098576585Z,converact-g03-53-router-b63383b,0.04%,37.13MiB / 7.506GiB,0.48%,18
2026-08-09T07:53:40.631474973Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:53:40.631474973Z,converact-g03-53-router-b63383b,0.05%,37.2MiB / 7.506GiB,0.48%,18
2026-08-09T07:54:43.164233721Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:54:43.164233721Z,converact-g03-53-router-b63383b,0.04%,37.03MiB / 7.506GiB,0.48%,18
2026-08-09T07:55:45.697374023Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:55:45.697374023Z,converact-g03-53-router-b63383b,0.09%,37.1MiB / 7.506GiB,0.48%,18
2026-08-09T07:56:48.230201810Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:56:48.230201810Z,converact-g03-53-router-b63383b,0.05%,37.17MiB / 7.506GiB,0.48%,18
2026-08-09T07:57:50.763188637Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:57:50.763188637Z,converact-g03-53-router-b63383b,0.04%,37MiB / 7.506GiB,0.48%,18
2026-08-09T07:58:53.295021143Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:58:53.295021143Z,converact-g03-53-router-b63383b,0.05%,37.07MiB / 7.506GiB,0.48%,18
2026-08-09T07:59:55.827320720Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T07:59:55.827320720Z,converact-g03-53-router-b63383b,0.10%,37.14MiB / 7.506GiB,0.48%,18
2026-08-09T08:00:58.360324344Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:00:58.360324344Z,converact-g03-53-router-b63383b,0.06%,37.21MiB / 7.506GiB,0.48%,18
2026-08-09T08:02:00.896967417Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:02:00.896967417Z,converact-g03-53-router-b63383b,0.05%,37.04MiB / 7.506GiB,0.48%,18
2026-08-09T08:03:03.429528341Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:03:03.429528341Z,converact-g03-53-router-b63383b,0.05%,37.11MiB / 7.506GiB,0.48%,18
2026-08-09T08:04:05.975533982Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:04:05.975533982Z,converact-g03-53-router-b63383b,0.04%,37.21MiB / 7.506GiB,0.48%,18
2026-08-09T08:05:08.508420129Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:05:08.508420129Z,converact-g03-53-router-b63383b,0.04%,37.07MiB / 7.506GiB,0.48%,18
