Date_ms;response_time_ms;rtd_no
4505.01;1;sip_route
4513.01;1;sip_route
4524.01;1;sip_route
4534.01;1;sip_route
4543.01;1;sip_route
4553.01;1;sip_route
4563.01;1;sip_route
4574.01;1;sip_route
4584.01;0;sip_route
4593.01;1;sip_route
4603.01;0;sip_route
4614.01;2;sip_route
4623.02;0;sip_route
4634.02;1;sip_route
4646.02;2;sip_route
4655.02;1;sip_route
4666.02;2;sip_route
4673.02;1;sip_route
4683.02;1;sip_route
4693.02;1;sip_route
4704.02;1;sip_route
4713.02;1;sip_route
4723.02;1;sip_route
4734.02;1;sip_route
4743.02;1;sip_route
4753.02;0;sip_route
4763.02;1;sip_route
4774.02;2;sip_route
4783.02;0;sip_route
4794.02;1;sip_route
4804.02;1;sip_route
4814.02;1;sip_route
4824.02;1;sip_route
4834.02;1;sip_route
4844.02;1;sip_route
4854.02;1;sip_route
4864.02;1;sip_route
4874.02;1;sip_route
4883.02;1;sip_route
4893.02;1;sip_route
4903.02;1;sip_route
4914.02;1;sip_route
4925.02;1;sip_route
4933.02;1;sip_route
4943.02;1;sip_route
4953.02;0;sip_route
4964.02;1;sip_route
4975.02;1;sip_route
4983.02;1;sip_route
4994.02;1;sip_route
5004.02;1;sip_route
5014.02;0;sip_route
5022.02;0;sip_route
5034.02;0;sip_route
5042.02;0;sip_route
5054.02;0;sip_route
5062.02;0;sip_route
5074.02;1;sip_route
5083.02;0;sip_route
5093.02;0;sip_route
5103.02;1;sip_route
5113.02;1;sip_route
5123.02;1;sip_route
5133.02;1;sip_route
5144.02;2;sip_route
5153.02;0;sip_route
5164.02;1;sip_route
5174.02;1;sip_route
5184.02;1;sip_route
5193.02;1;sip_route
5203.02;1;sip_route
5213.02;0;sip_route
5224.02;1;sip_route
5232.02;1;sip_route
5244.02;1;sip_route
5254.02;0;sip_route
5264.02;1;sip_route
5274.02;0;sip_route
5284.02;1;sip_route
5294.02;0;sip_route
5304.02;0;sip_route
5313.02;0;sip_route
5323.02;1;sip_route
5333.02;0;sip_route
5344.02;1;sip_route
5354.02;0;sip_route
5364.02;1;sip_route
5374.02;0;sip_route
5383.02;1;sip_route
5394.02;0;sip_route
5404.02;1;sip_route
5412.02;0;sip_route
