CurrentTime;ElapsedTime;0_INVITE_Sent;0_INVITE_Retrans;0_INVITE_Timeout;1_100_Recv;1_100_Retrans;1_100_Timeout;1_100_Unexp;2_486_Recv;2_486_Retrans;2_486_Timeout;2_486_Unexp;3_ACK_Sent;3_ACK_Retrans;3_ACK_Timeout;4_Pause_Sessions;4_Pause_Unexp;
2026-08-09	06:58:04.615722	1786258684.615722;00:00:18:027000;17994;0;0;17993;0;0;0;17992;0;0;0;17992;0;0;17992;0;
2026-08-09	06:58:05.616885	1786258685.616885;00:00:19:028000;18993;0;0;18993;0;0;0;18992;0;0;0;18992;0;0;18991;0;
2026-08-09	06:58:06.619216	1786258686.619216;00:00:20:031000;19995;0;0;19995;0;0;0;19993;0;0;0;19993;0;0;19993;0;
2026-08-09	06:58:07.620484	1786258687.620484;00:00:21:032000;20993;0;0;20993;0;0;0;20990;0;0;0;20990;0;0;20990;0;
2026-08-09	06:58:08.621491	1786258688.621491;00:00:22:033000;21993;0;0;21993;0;0;0;21993;0;0;0;21993;0;0;21992;0;
2026-08-09	06:58:09.622487	1786258689.622487;00:00:23:034000;22993;0;0;22992;0;0;0;22992;0;0;0;22992;0;0;22991;0;
2026-08-09	06:58:10.623752	1786258690.623752;00:00:24:035000;23993;0;0;23993;0;0;0;23993;0;0;0;23993;0;0;23992;0;
2026-08-09	06:58:11.625552	1786258691.625552;00:00:25:037000;24992;0;0;24987;0;0;0;24987;0;0;0;24987;0;0;24986;0;
2026-08-09	06:58:12.627367	1786258692.627367;00:00:26:039000;25992;0;0;25992;0;0;0;25992;0;0;0;25992;0;0;25992;0;
2026-08-09	06:58:13.628769	1786258693.628769;00:00:27:040000;26991;0;0;26990;0;0;0;26988;0;0;0;26988;0;0;26988;0;
2026-08-09	06:58:14.630359	1786258694.630359;00:00:28:042000;27991;0;0;27991;0;0;0;27989;0;0;0;27989;0;0;27989;0;
2026-08-09	06:58:15.631469	1786258695.631469;00:00:29:043000;28991;0;0;28991;0;0;0;28991;0;0;0;28991;0;0;28990;0;
2026-08-09	06:58:16.632832	1786258696.632832;00:00:30:044000;29991;0;0;29991;0;0;0;29991;0;0;0;29991;0;0;29990;0;
2026-08-09	06:58:17.634957	1786258697.634957;00:00:31:046000;30992;0;0;30992;0;0;0;30992;0;0;0;30992;0;0;30992;0;
2026-08-09	06:58:18.637229	1786258698.637229;00:00:32:049000;31987;0;0;31987;0;0;0;31987;0;0;0;31987;0;0;31987;0;
2026-08-09	06:58:19.638525	1786258699.638525;00:00:33:050000;32989;0;0;32989;0;0;0;32989;0;0;0;32989;0;0;32988;0;
2026-08-09	06:58:20.641265	1786258700.641265;00:00:34:053000;33990;0;0;33990;0;0;0;33990;0;0;0;33990;0;0;33990;0;
2026-08-09	06:58:21.642692	1786258701.642692;00:00:35:054000;34991;0;0;34991;0;0;0;34990;0;0;0;34990;0;0;34989;0;
2026-08-09	06:58:22.644021	1786258702.644021;00:00:36:055000;35991;0;0;35991;0;0;0;35990;0;0;0;35990;0;0;35989;0;
2026-08-09	06:58:23.645575	1786258703.645575;00:00:37:057000;36992;0;0;36992;0;0;0;36990;0;0;0;36990;0;0;36990;0;
2026-08-09	06:58:24.648662	1786258704.648662;00:00:38:060000;37994;0;0;37994;0;0;0;37994;0;0;0;37994;0;0;37994;0;
2026-08-09	06:58:25.649516	1786258705.649516;00:00:39:061000;38993;0;0;38993;0;0;0;38993;0;0;0;38993;0;0;38993;0;
2026-08-09	06:58:26.651599	1786258706.651599;00:00:40:063000;39995;0;0;39995;0;0;0;39993;0;0;0;39993;0;0;39993;0;
2026-08-09	06:58:27.652466	1786258707.652466;00:00:41:064000;40994;0;0;40994;0;0;0;40992;0;0;0;40992;0;0;40992;0;
2026-08-09	06:58:28.654542	1786258708.654542;00:00:42:066000;41993;0;0;41993;0;0;0;41992;0;0;0;41992;0;0;41991;0;
2026-08-09	06:58:29.656506	1786258709.656506;00:00:43:068000;42995;0;0;42995;0;0;0;42994;0;0;0;42994;0;0;42993;0;
2026-08-09	06:58:30.658736	1786258710.658736;00:00:44:070000;43996;0;0;43996;0;0;0;43996;0;0;0;43996;0;0;43995;0;
2026-08-09	06:58:31.660568	1786258711.660568;00:00:45:072000;44996;0;0;44994;0;0;0;44994;0;0;0;44994;0;0;44994;0;
2026-08-09	06:58:32.663148	1786258712.663148;00:00:46:074000;45995;0;0;45992;0;0;0;45992;0;0;0;45992;0;0;45991;0;
2026-08-09	06:58:33.663594	1786258713.663594;00:00:47:075000;46991;0;0;46991;0;0;0;46990;0;0;0;46990;0;0;46989;0;
2026-08-09	06:58:34.664993	1786258714.664993;00:00:48:076000;47990;0;0;47990;0;0;0;47990;0;0;0;47990;0;0;47989;0;
2026-08-09	06:58:35.667342	1786258715.667342;00:00:49:079000;48989;0;0;48989;0;0;0;48988;0;0;0;48988;0;0;48987;0;
2026-08-09	06:58:36.668359	1786258716.668359;00:00:50:080000;49988;0;0;49988;0;0;0;49988;0;0;0;49988;0;0;49988;0;
2026-08-09	06:58:37.669715	1786258717.669715;00:00:51:081000;50988;0;0;50985;0;0;0;50985;0;0;0;50985;0;0;50985;0;
2026-08-09	06:58:38.670909	1786258718.670909;00:00:52:082000;51986;0;0;51986;0;0;0;51986;0;0;0;51986;0;0;51985;0;
2026-08-09	06:58:39.671499	1786258719.671499;00:00:53:083000;52987;0;0;52987;0;0;0;52986;0;0;0;52986;0;0;52985;0;
2026-08-09	06:58:40.673495	1786258720.673495;00:00:54:085000;53985;0;0;53985;0;0;0;53985;0;0;0;53985;0;0;53985;0;
2026-08-09	06:58:41.674616	1786258721.674616;00:00:55:086000;54985;0;0;54985;0;0;0;54983;0;0;0;54983;0;0;54983;0;
2026-08-09	06:58:42.676577	1786258722.676577;00:00:56:088000;55985;0;0;55985;0;0;0;55983;0;0;0;55983;0;0;55983;0;
2026-08-09	06:58:43.677554	1786258723.677554;00:00:57:089000;56983;0;0;56982;0;0;0;56980;0;0;0;56980;0;0;56979;0;
2026-08-09	06:58:44.678915	1786258724.678915;00:00:58:090000;57984;0;0;57984;0;0;0;57984;0;0;0;57984;0;0;57983;0;
2026-08-09	06:58:45.679636	1786258725.679636;00:00:59:091000;58985;0;0;58983;0;0;0;58982;0;0;0;58982;0;0;58981;0;
2026-08-09	06:58:46.680879	1786258726.680879;00:01:00:092000;59986;0;0;59985;0;0;0;59984;0;0;0;59984;0;0;59984;0;
2026-08-09	06:58:46.978655	1786258726.978655;00:01:00:390000;60000;0;0;60000;0;0;0;60000;0;0;0;60000;0;0;60000;0;
2026-08-09	06:58:46.978863	1786258726.978863;00:01:00:390000;60000;0;0;60000;0;0;0;60000;0;0;0;60000;0;0;60000;0;
