procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 1133240 4022300 160240 2543688    0    0     0    96 4987 13567 53 17 29  0  0  0
 1  0 1133240 4023768 160284 2546036   12    0    12   388 5287 14263 55 21 24  0  0  0
 0  0 1133240 4022764 160284 2548328    0    0     0     0 5105 13347 54 20 26  0  0  0
 2  0 1133240 4014208 160284 2550572    0    0     0     8 5306 14054 56 20 24  0  0  0
 1  0 1133240 4002112 160284 2552820    0    0     0     0 4850 13278 53 21 26  0  0  0
 2  0 1133240 3994804 160296 2555092    0    0     0   464 5284 14237 55 19 26  0  0  0
 3  0 1133240 3990772 160296 2557356    0    0     0     0 5069 13244 54 18 28  0  0  0
 3  0 1133240 3986768 160296 2559660    0    0     0     0 5216 14282 56 20 24  0  0  0
 3  0 1133240 3984752 160296 2561920    0    0     0     0 5117 13680 53 18 28  0  0  0
13  0 1133240 3980468 160296 2564168    0    0     0    12 5296 14339 58 19 23  0  0  0
 3  0 1133240 3976688 160304 2566572    0    0     0   160 5019 13255 56 17 27  0  0  0
 2  0 1133240 3976072 160344 2568756    0    0     0 57556 5408 14744 57 20 22  1  0  0
 3  0 1133240 3974308 160344 2571064    0    0     0     0 5218 13865 55 17 28  0  0  0
 5  0 1133240 3970024 160344 2573312    0    0     0     0 5430 14313 58 20 22  0  0  0
 4  0 1133240 3967504 160344 2575604    0    0     0     0 5178 13930 52 19 28  0  0  0
 3  0 1133240 3962968 160344 2577952    0    0     0    44 5201 13679 57 18 25  0  0  0
 7  0 1133240 3970236 160360 2580192   16    0    16   812 4865 12539 57 24 19  0  0  0
 1  0 1133240 3959952 160360 2582508    0    0     0     0 5286 14051 61 19 20  0  0  0
 3  0 1133240 3957684 160360 2584748    0    0     0    12 5215 13933 55 18 27  0  0  0
 7  0 1133240 3957180 160360 2587008    0    0     0     0 5286 14091 54 20 26  0  0  0
 2  0 1133240 3953680 160360 2589312    0    0     0    92 5208 13539 58 19 24  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0 1133240 3953428 160404 2591620    8    0     8   600 5260 13809 55 18 27  0  0  0
 5  0 1133240 3950908 160404 2593836    0    0     0     4 5358 14381 54 19 26  0  0  0
 5  0 1133240 3950908 160404 2596116    0    0     0     0 5030 13546 52 18 30  0  0  0
 1  0 1133240 3950656 160404 2598464    0    0     0     0 5312 14301 58 19 22  0  0  0
 2  0 1133240 3948388 160404 2600624    4    0     4    76 5147 13786 54 17 30  0  0  0
 9  0 1133240 3939064 160408 2602916    0    0     0   124 5304 14216 54 20 26  0  0  0
 8  0 1133240 3931252 160408 2605296    0    0     0    12 5119 13545 52 19 29  0  0  0
 2  0 1133240 3925708 160408 2607504    0    0     0     0 5258 13996 58 20 22  0  0  0
 8  0 1133240 3923440 160408 2609820    0    0     0     0 5106 13737 54 18 28  0  0  0
 8  0 1133240 3917672 160408 2612132    0    0     0     0 5496 14480 55 21 24  0  0  0
 4  0 1133240 3908852 160444 2614372    0    0     0   416 5274 13401 57 18 26  0  0  0
 3  0 1133240 3907592 160444 2616672    0    0     0     0 5453 14500 56 19 25  0  0  0
 2  0 1133240 3906332 160444 2618924    0    0     0     8 4986 13444 53 18 28  0  0  0
 4  0 1133240 3896756 160444 2621228    0    0     0     0 5321 14262 55 20 26  0  0  0
 0  0 1133240 3880124 160444 2623448    4    0     4    36 5118 13392 54 20 26  0  0  0
 6  0 1133240 3880124 160452 2625728    0    0     0   480 5210 14179 57 19 24  0  0  0
 6  0 1133240 3879872 160452 2628004    0    0     0     0 5047 13592 54 18 28  0  0  0
 6  0 1133240 3876848 160452 2630184    0    0     0     0 5190 13858 55 21 24  0  0  0
 3  0 1133240 3870800 160452 2632696    0    0     0     8 4961 13291 54 18 28  0  0  0
 5  0 1133240 3884132 160484 2633396    0    0     0 66108 5493 12143 28 15 55  2  0  0
 3  0 1133240 3898592 160492 2633400    0    0     0   240 2577 5143  3  2 96  0  0  0
